License,TeamName,OrganizationName,City,State,Country,Division
985D,Not Found in Nature,MARY OUR QUEEN SCHOOL,Omaha,Nebraska,United States,Research
1116M,ROCK-IT-BOTS,Rock-IT-Bot Friends,HOUSTON,Texas,United States,Research
1555B,Team Pitching In,Margaret Yarbrough School,Auburn,Alabama,United States,Research
2014D,Sandpiper For The Win,Sandpiper Elementary School,Redwood City,California,United States,Research
2316F,Pringles,Hall Fletcher Elementary,Asheville,North Carolina,United States,Research
2626X,Spare Parts,St. Francis Xavier Middle School,Appleton,Wisconsin,United States,Research
3130A,Baby Yoda,Franklin Elementary School,Council Bluffs,Iowa,United States,Research
3705A,Crestline Elem - Team A,Mountain Brook Machines - CES,Mountain Brook,Alabama,United States,Research
4846A,The Flying Tigers,WILDWOOD ELEMENTARY SCHOOL,Baton Rouge,Louisiana,United States,Research
5713R,"Rock Spring Robotics",ROCK SPRING ELEMENTARY,McDonough,Georgia,United States,Research
6855B,Warrior Vex IQ,"WESTMINSTER CHRISTIAN PRIVATE SCHOOL, INC.",Palmetto Bay,Florida,United States,Research
7500B,Robotics Club,David E Norman Elementary School,Ely,Nevada,United States,Research
7707C,Steel Eagle - Coolbot,Pleasant View Elementary Zionsville,Zionsville,Indiana,United States,Research
8215B,Ka'ōhao Iwa,KA'OHAO PUBLIC CHARTER SCHOOL,Kailua,Hawaii,United States,Research
9290B,Sparks ES,Sparks Elementary School,Sparks,Maryland,United States,Research
10142X,Green Tigers Team X,MANOA ELEMENTARY SCHOOL,Honolulu,Hawaii,United States,Research
10404C,Cold Spring,COLD SPRING SCHOOL,Indianapolis,Indiana,United States,Research
10525K,Kraken,FOREST GLEN ELEMENTARY SCHOOL,Indianapolis,Indiana,United States,Research
11086B,Invented Cybercats,SUMMIT SCHOOL OF AHWATUKEE,Phoenix,Arizona,United States,Research
11860C,Brentwood Bots C,BRENTWOOD ELEMENTARY SCHOOL,Plainfield,Indiana,United States,Research
13017E,13017E,Hutto Elementary School,HUTTO,Texas,United States,Research
14822C,BRAGGS 1N C0DE IQ,CANASERAGA SCHOOL,Canaseraga,New York,United States,Research
17760A,Rainbow Robots,Capitol City Robotics,Washington,District of Columbia,United States,Research
18799E,Wolf Bots,Montessori Science Academy,New Palestine,Indiana,United States,Research
19968D,H.O.B Vikings Robotics,H. O. Brittingham Elementary School,Milton,Delaware,United States,Research
20762C,InvestiGATORS,Guion Creek Elementary School,Indianapolis,Indiana,United States,Research
22072B,TechnicaLEE Bots,FRANCES AND JEANNETTE LEE ELEMENTARY SCHOOL,Caddo Mills,Texas,United States,Research
25674A,The Team With No Name,Fred J Hums Elementary School,Mishawaka,Indiana,United States,Research
30028B,Megatronics,SILVER CITY ELEMENTARY SCHOOL,Cumming,Georgia,United States,Research
30866B,"Super Hooper Cougars",Hooper Avenue Elementary School,Los Angeles,California,United States,Research
33310B,Applied|Science,AMY PARKS-HEATH ELEMENTARY SCHOOL,Rockwall,Texas,United States,Research
35130A,West J Bots,WEST JEFFERSON ELEMENTARY SCHOOL,Quinton,Alabama,United States,Research
38310C,Eagle Engineers,NORTHLAKE ELEMENTARY SCHOOL,Garland,Texas,United States,Research
40693R,Team MicroBot,Gillette College,Gillette,Wyoming,United States,Research
45200E,Eksen- RoboOptimum,Akhisar Eksen OkullarÄ±,Akhisar,,Turkey,Research
52106A,Emerald Tigers,Harmony School Of Innovation - El Paso,EL PASO,Texas,United States,Research
53976A,Tara Oaks Tigerbots,TARA OAKS ELEMENTARY SCHOOL,Collierville,Tennessee,United States,Research
56721B,Riverside Rams,RIVERSIDE CHRISTIAN SCHOOL,East Grand Forks,Minnesota,United States,Research
60718A,Pixel,ROSA PARKS ELEMENTARY,Redmond,Washington,United States,Research
63761E,Eliminators,St. Cloud Elementary School,ST CLOUD,Florida,United States,Research
67558E,PRMS Team 4,PIKE ROAD HISTORIC SCHOOL,Pike Road,Alabama,United States,Research
70901B,Eagle Bots,ASCARATE ELEMENTARY SCHOOL,El Paso,Texas,United States,Research
71654E,The Lions,Mcgehee Elementary School,MCGEHEE,Arkansas,United States,Research
78335G,Robo-G.O.A.T.S.,Pine Crest School,Boca Raton,Florida,United States,Research
80491D,The Builders,RED HAWK ELEMENTARY,Erie,Colorado,United States,Research
83660A,O.R.A. Bots,Horace Mann Elementary School,Huntington,Indiana,United States,Research
85365E,EZ,Yuma Homeschool Robotics Program,YUMA,Arizona,United States,Research
90948A,NP Yellow Jackets,NORTH POINTE ELEMENTARY,Anderson,South Carolina,United States,Research
91362F,Elon Musk Bots,Westchester Intermediate School,Chesterton,Indiana,United States,Research
94537X,Era,Wiles Elementary,Gainesville,Florida,United States,Research
96627C,Sharp Creek White Norsebot,SHARP CREEK ELEMENTARY SCHOOL,Wabash,Indiana,United States,Research
98999F,Pioneers,River Ridge Academy,Bluffton,South Carolina,United States,Research
28B,Tank Lords,Robot Revolution,Summit,New Jersey,United States,Science
127E,Electrobots,PACIFIC COAST ACADEMY,Poway,California,United States,Science
428J,North Loop Jaguars2,NORTH LOOP ELEMENTARY SCHOOL,EL PASO,Texas,United States,Science
640B,The Vexes,GREEN ACRES SCHOOL,North Ogden,Utah,United States,Science
804B,Brookwood,BROOKWOOD ELEMENTARY SCHOOL,League City,Texas,United States,Science
860A,Rocket Bots,GARDENDALE ELEMENTARY SCHOOL,Gardendale,Alabama,United States,Science
1012E,Ten Ton Robotics,West Vancouver Schools,West Vancouver,British Columbia,Canada,Science
1251B,EagleBots125,CASA VIEW ELEMENTARY SCHOOL,Dallas,Texas,United States,Science
1713W,WissenJr02,WissenSTEM,Taoyuan,,"Taiwan, China",Science
2205A,The Terminators,Curious Robots,Redmond,Washington,United States,Science
2490A,Beloved Owls,MEDFIELD HEIGHTS ELEMENTARY,Baltimore,Maryland,United States,Science
2783K,Super Stingers,CARTER LAKE ELEMENTARY SCHOOL,Carter Lake,Iowa,United States,Science
3333S,Gerald,"NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY",Pontiac,Michigan,United States,Science
3738B,Eagles,PHOENIX ADVANTAGE CHARTER SCHOOL,Phoenix,Arizona,United States,Science
5164B,Marquez Robotix/RED,Marquez Charter,Pacific Palisades,California,United States,Science
6510F,Salty Sea Salt,"Pymble Ladies College, Sydney, Australia",Pymble,,Australia,Science
6900F,Big Meow,Vinci Robotics Academy,Burlington,Massachusetts,United States,Science
7686A,Adventure Bots,Tiger Robotics,Harrisburg,South Dakota,United States,Science
7707P,Steel Eagles - PMR Party,Pleasant View Elementary Zionsville,Zionsville,Indiana,United States,Science
8390S,// Caution Tape Siren //,Caution Tape Robotics ////,Markham,Ontario,Canada,Science
9464C,Cowboy Robotics,Hickory Ridge Elementary,Harrisburg,North Carolina,United States,Science
10277A,MacRobotics-Purple,Douglas Macarthur Elementary School,Cedar Lake,Indiana,United States,Science
10477B,ES Twilight,Paramount Brookside,Indianapolis,Indiana,United States,Science
10775X,CyberEAGLES,SYCAMORE SCHOOL,Indianapolis,Indiana,United States,Science
11450H,RMS Lions,RAVENSWOOD MIDDLE,East Palo Alto,California,United States,Science
12065A,Magnus Robotics,Magnus Robotics,Harrisburg,Pennsylvania,United States,Science
13729R,Buffalo Bots,BUFFALO ELEMENTARY SCHOOL,Kenova,West Virginia,United States,Science
15294B,Eaglebots - Blue,WOODVIEW ELEMENTARY SCHOOL,Nappanee,Indiana,United States,Science
17760V,Glowing Chickens,Capitol City Robotics,Washington,District of Columbia,United States,Science
19554B,Lyons Lions 2,LYONS ELEMENTARY SCHOOL,Lyons,Colorado,United States,Science
20188N,Engineering For Kids Osborne Park: Nothing,Engineering For Kids Australia,Osborne Park,,Australia,Science
21217A,FLTPA Soaring Eagles,FURMAN TEMPLETON PREPARATORY ACADEMY,Baltimore,Maryland,United States,Science
23117A,Warbots,Corner School,Warrior,Alabama,United States,Science
26455A,Radical Robots,Queensbury Schools,Queensbury,New York,United States,Science
30077E,RoboPhantoms,BILOXI UPPER ELEMENTARY,BILOXI,Mississippi,United States,Science
31186F,Roadbot Runners F,PIONEER SCHOOL,Ogden,Utah,United States,Science
33896E,Falcons,Valley View School,BOUNTIFUL,Utah,United States,Science
36356Z,Queen Hornets,MARGARET B HENDERSON ELEMENTARY SCHOOL,Dallas,Texas,United States,Science
38677A,Champion,ROBERT F HUNT ELEMENTARY SCHOOL,Diana,Texas,United States,Science
42031B,Bio Hackers,Westwood Elementary School,St. Cloud,Minnesota,United States,Science
46168B,Team: Up,PYRE Robotics,Plainfield,Indiana,United States,Science
52654C,Electrical Imposters,NORTHERN ELEMENTARY SCHOOL,Georgetown,Kentucky,United States,Science
53976D,Tara Oaks Tigerbots,TARA OAKS ELEMENTARY SCHOOL,Collierville,Tennessee,United States,Science
58130A,The Infinite Storm,Junior Lynx Robotics,Council Bluffs,Iowa,United States,Science
61414R,Big Brain Bots,Silver Ridge Elementary,Farr West,Utah,United States,Science
65815Z,Totally Humans,CAROLINE DORMON JUNIOR HIGH SCHOOL,Woodworth,Louisiana,United States,Science
69191D,Grim Reapers,ROYERTON ELEMENTARY SCHOOL,Muncie,Indiana,United States,Science
71132A,Pearl Watson Lions,PEARL WATSON ELEMENTARY SCHOOL,Lake Charles,Louisiana,United States,Science
77124B,Robotic Masters,WILLIAMS MAGNET ELEMENTARY SCHOOL. SCHOOL,Little Rock,Arkansas,United States,Science
78876B,Rubu Qarn - Sharjah Children  Bataeh 2,Rubu Qarn - Sharjah Children,Sharjah,,United Arab Emirates,Science
80602E,Red Bull Wings,STAMPING GROUND ELEMENTARY SCHOOL,Stamping Ground,Kentucky,United States,Science
84087B,Troopers,WOODS CROSS SCHOOL,Woods Cross,Utah,United States,Science
87216R,Beambots,PINEVILLE ROBOTICS,Pineville,Louisiana,United States,Science
91343A,Vintage Team A,"VINTAGE MATH/SCIENCE/TECHNOLO GY MAGNET",North Hills,California,United States,Science
93332C,The Flying Pigs,Pine Crest School,Fort Lauderdale,Florida,United States,Science
95196A,Team Turtles,PASS ROAD ELEMENTARY SCHOOL,Gulfport,Mississippi,United States,Science
96712B,Cane Fires,HALE'IWA ELEMENTARY SCHOOL,Haleiwa,Hawaii,United States,Science
99999G,G8R Gears,Southeast Valley Robotics,Queen Creek,Arizona,United States,Science
36T,Tronbots,Cranbrook Schools,Bloomfield Hills,Michigan,United States,Spirit
233B,Laser-Bots,WINNECONNE ELEMENTARY,Winneconne,Wisconsin,United States,Spirit
463B,dolphins,OPPE ELEMENTARY SCHOOL,Galveston,Texas,United States,Spirit
737A,OES All-Stars A,Ogletree School,Auburn,Alabama,United States,Spirit
813B,Landolt Victory,C D LANDOLT ELEMENTARY SCHOOL,League City,Texas,United States,Spirit
938B,"Blaze Robotics Qubits",Blaze Education,redmond,Washington,United States,Spirit
1059A,CyberKnights A,KIMBERLIN ACAD FOR EXCEL,Garland,Texas,United States,Spirit
1495C,Robo Legends,4H Robo Legends Robotics of South Texas,Saint Hedwig,Texas,United States,Spirit
1915B,EagleBotsB,New Bethel Elementary School,Tuscumbia,Alabama,United States,Spirit
2288B,Blue Angels,HORIZON SCIENCE ACADEMY ELEMENTARY SCHOOL,Columbus,Ohio,United States,Spirit
2626U,Screaming Squirrels,ST FRANCIS XAVIER Middle SCHOOL,Appleton,Wisconsin,United States,Spirit
3096A,King's Gambit,MAPLE ELEMENTARY,Hesperia,California,United States,Spirit
3701B,"Brookwood Forest Elem-B","BROOKWOOD FOREST ELEMENTARY
SCHOOL",Mountain Brk,Alabama,United States,Spirit
4825E,Full Metal Robotics IQ,ROYAL LIVE OAKS ACADEMY FOR THE ARTS AND SCIENCES CHARTER,Hardeeville,South Carolina,United States,Spirit
5312B,Champs,POINT HARMONY ELEMENTARY SCHOOL,Cross Lanes,West Virginia,United States,Spirit
6576E,Dragon Hunters,GATEWAY SCIENCE ACAD/ST LOUIS,ST. Louis,Missouri,United States,Spirit
7200A,Technology Tornadoez,VIRGIL MILLS ELEMENTARY SCHOOL,Palmetto,Florida,United States,Spirit
7700V,Rolling Robots,Rolling Robots,Rolling Hills Estates,California,United States,Spirit
8182B,Baby Giraffes,Mandarin Immersion Magnet School,Bellaire,Texas,United States,Spirit
8891B,"EDUBUS Batman",EDUBUS,Irvine,California,United States,Spirit
10050R,Gears,HERITAGE ELEMENTARY SCHOOL,Tahlequah,Oklahoma,United States,Spirit
10300B,Ashland Falconbots,ASHLAND ELEMENTARY,Manassas,Virginia,United States,Spirit
10511E,Sigmabots,CYPRESS RIDGE ELEMENTARY SCHOOL,Clermont,Florida,United States,Spirit
10981C,Custom Robot Guys (GCA),GRACE CHRISTIAN ACADEMY,Tempe,Arizona,United States,Spirit
11860A,Brentwood Bots A,BRENTWOOD ELEMENTARY SCHOOL,Plainfield,Indiana,United States,Spirit
12346B,DES Robotics,DEQUINCY ELEMENTARY SCHOOL,dequincy,Louisiana,United States,Spirit
14163B,Eagle Squad,MONROEVILLE ELEMENTARY SCHOOL,Monroeville,Ohio,United States,Spirit
16823B,Gigabots B,Boys & Girls Club of Meriden,Meriden,Connecticut,United States,Spirit
18799C,Astronauts,Montessori Science Academy,New Palestine,Indiana,United States,Spirit
19945B,Banana Bots,CLAYTON (JOHN M.) ELEMENTARY SCHOOL,Frankford,Delaware,United States,Spirit
20762A,InvestiGATO RS,Guion Creek Elementary School,Indianapolis,Indiana,United States,Spirit
22071C,RoboFoxes,Kathryn Griffis Elementary School,CADDO MILLS,Texas,United States,Spirit
23500G,Gear Flys,"EDKEY INC. - PATHFINDER ACADEMY AT EASTMARK",Mesa,Arizona,United States,Spirit
29766T,Quarry Lads & Lassies T,Stinesville Robotics Team,Stinesville,Indiana,United States,Spirit
30707A,GL Robotics,Chickamauga Elementary School,Chickamauga,Georgia,United States,Spirit
33111A,Superstar,Robot Mastery LLC,Friendswood,Texas,United States,Spirit
34107D,"St Joseph VEX & Builders",ST JOSEPH GRADE SCHOOL,Huntington,West Virginia,United States,Spirit
37991M,BOTS 11,BOTS RobÃ³tica,rionegro,,Colombia,Spirit
40693K,RoboGirls 307,Gillette College,Gillette,Wyoming,United States,Spirit
44010P,Wildcat Protocol,WEDDINGTON HILLS ELEMENTARY,Concord,North Carolina,United States,Spirit
51717R,The Buzzy Bots,ROOSEVELT ELEMENTARY SCHOOL,Council Bluffs,Iowa,United States,Spirit
53732E,Werewolf,Falcon Robotics (All Nations Community School),Oak Ridge North,Texas,United States,Spirit
56376A,VEXperts,The Harker School,San Jose,California,United States,Spirit
59713G,Mercer G,MERCER ELEMENTARY,Princeton,West Virginia,United States,Spirit
63761B,Best Bot Masters,St. Cloud Elementary School,ST CLOUD,Florida,United States,Spirit
66936B,Black Hole,Magikid Robotics Claremont Lab,Claremont,California,United States,Spirit
70852A,Racing Robots,Home,Malvren,Pennsylvania,United States,Spirit
71654C,Real STEEL,Mcgehee Elementary School,MCGEHEE,Arkansas,United States,Spirit
78273B,TechTitans,PS 124 OSMOND A CHURCH,South Ozone Park,New York,United States,Spirit
79774B,MASTER MINI BOT,COLEGIO SAN PEDRO CLAVER,Bucaramanga - Santander,,Colombia,Spirit
81927D,Krystal Comets 4,KRYSTAL SCHOOL OF SCIENCE MATH & TECHNOLOGY,Hesperia,California,United States,Spirit
85365A,Team ReMIX,Yuma Homeschool Robotics Program,YUMA,Arizona,United States,Spirit
90125A,RoboCats,The Episcopal Collegiate School,LITTLE ROCK,Arkansas,United States,Spirit
91343E,Vintage Team E,"VINTAGE MATH/SCIENCE/TECHNOLOGY MAGNET",North Hills,California,United States,Spirit
93661C,Champions,STEMA Center,Dubai,,United Arab Emirates,Spirit
96627A,Sharp Creek Blue Norsebots,SHARP CREEK ELEMENTARY SCHOOL,Wabash,Indiana,United States,Spirit
98577A,PEL-I-CAN,Northshore Robotics,Mandeville,Louisiana,United States,Spirit
15B,Crescent Elementary,CRESCENT ELEMENTARY,Anaheim,California,United States,Technology
114E,Dream Team,KANESVILLE SCHOOL,West Haven,Utah,United States,Technology
402C,Hot Shots,ST ROBERT BELLARMINE SCHOOL,OMAHA,Nebraska,United States,Technology
463K,dolphins,OPPE ELEMENTARY SCHOOL,Galveston,Texas,United States,Technology
804A,Brookwood,BROOKWOOD ELEMENTARY SCHOOL,League City,Texas,United States,Technology
858A,CHEESY APPLES,Sydney Robotics Academy,chatswood,,Australia,Technology
1012A,Ten Ton Robotics,West Vancouver Schools,West Vancouver,British Columbia,Canada,Technology
1177B,Los Tres Mosquiteros,IVALEE ELEMENTARY SCHOOL,Attalla,Alabama,United States,Technology
1713A,WissenJr01,WissenSTEM,Taoyuan,,"Taiwan, China",Technology
2028A,Road Ragers,Bankhead Elementary School,Cordova,Alabama,United States,Technology
2316X,4.5 Musketeers,Hall Fletcher Elementary,Asheville,North Carolina,United States,Technology
2783C,Buzz Lightyears,CARTER LAKE ELEMENTARY SCHOOL,Carter Lake,Iowa,United States,Technology
3333M,The Green Oranges,NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY,Pontiac,Michigan,United States,Technology
3723B,SFSACADEMY,Seoul Foreign School,Seoul,,South Korea,Technology
5164A,Marquez Robotix/BLUE,Marquez Charter,Pacific Palisades,California,United States,Technology
6403X,Cobras,Brookside Intermediate School,Sheffield,Ohio,United States,Technology
6900B,Un Name,Vinci Robotics Academy,Burlington,Massachusetts,United States,Technology
7500D,Pi-gers,David E Norman Elementary School,Ely,Nevada,United States,Technology
7707N,New Mechanics,Pleasant View Elementary Zionsville,Zionsville,Indiana,United States,Technology
8390N,// Caution Tape Nunchaku //,Caution Tape Robotics ////,Markham,Ontario,Canada,Technology
9353A,HighQ Robots,Private,Redmond,Washington,United States,Technology
10142Z,Green Tigers Team Z,MANOA ELEMENTARY SCHOOL,Honolulu,Hawaii,United States,Technology
10404E,Cold Spring,COLD SPRING SCHOOL,Indianapolis,Indiana,United States,Technology
10775W,CyberEAGLES,SYCAMORE SCHOOL,Indianapolis,Indiana,United States,Technology
11131A,The Robotic Warriors,Ella Baker Elementary School,Redmond,Washington,United States,Technology
12059A,Shrek Bots,St. Luke Catholic School,Indianapolis,Indiana,United States,Technology
13729B,Buffalo Bots,BUFFALO ELEMENTARY SCHOOL,Kenova,West Virginia,United States,Technology
15294A,Eaglebots - Red,WOODVIEW ELEMENTARY SCHOOL,Nappanee,Indiana,United States,Technology
17760F,RoboKitties!,Capitol City Robotics,Washington,District of Columbia,United States,Technology
19101B,Lake Ridge Elementary Robotics,LAKE RIDGE ELEMENTARY SCHOOL,Woodbridge,Virginia,United States,Technology
20002C,Secret Coders,Mankato Community Education Department,Mankato,Minnesota,United States,Technology
21124D,The Soaring Rockets,ELLEN OCHOA LEARNING CENTER,Cudahy,California,United States,Technology
22608A,Flying Cheese,Private,IRVINE,California,United States,Technology
26194B,TechnoLions Purple,LEO ELEMENTARY SCHOOL,Leo,Indiana,United States,Technology
30077D,Defenestrators,BILOXI UPPER ELEMENTARY,BILOXI,Mississippi,United States,Technology
31186C,Roadbot Runners C,PIONEER SCHOOL,Ogden,Utah,United States,Technology
33433C,De-Batteries,L & Bâ€™s Garage Robotics,Harrisburg,North Carolina,United States,Technology
36356B,RoboHornets,MARGARET B HENDERSON ELEMENTARY SCHOOL,Dallas,Texas,United States,Technology
38636C,Eagletronics,ARLINGTON ELEMENTARY/MIDDLE,Baltimore,Maryland,United States,Technology
41466B,The Rockys jr 2,IGS Rockenhausen,Rockenhausen,"Rheinland- Pfalz",Germany,Technology
45708E,Robo Flyers,CHARLES O STONES INTERMEDIATE CTR,Garden City,Kansas,United States,Technology
52654B,Vortex,NORTHERN ELEMENTARY SCHOOL,Georgetown,Kentucky,United States,Technology
53976C,Tara Oaks Tigerbots,TARA OAKS ELEMENTARY SCHOOL,Collierville,Tennessee,United States,Technology
57224D,splitbot,Sherry and Paul Hamm Elementary,Rockwall,Texas,United States,Technology
61414E,Aliens,Silver Ridge Elementary,Farr West,Utah,United States,Technology
64535A,Bulldogs #1,NAPPANEE ELEMENTARY SCHOOL,Nappanee,Indiana,United States,Technology
68346B,Bolts,VIKING ELEMENTARY SCHOOL,Grand Forks,North Dakota,United States,Technology
71100P,Elite Engineers,Poole's Mill Elementary,Cumming,Georgia,United States,Technology
74177V,The Flying Pigs,Pinecrest Academy Sloan Canyon,Henderson,Nevada,United States,Technology
78876A,Rubu Qarn - Sharjah Children  Bataeh 1,Rubu Qarn - Sharjah Children,Sharjah,,United Arab Emirates,Technology
80602C,Terminators,STAMPING GROUND ELEMENTARY SCHOOL,Stamping Ground,Kentucky,United States,Technology
84037C,Ciphers,H C BURTON SCHOOL,Kaysville,Utah,United States,Technology
87216E,The Killerbots,PINEVILLE ROBOTICS,Pineville,Louisiana,United States,Technology
91320J,BSIC BULLDOGS,Bernadine Sitts Intermediate Center,Garden City,Kansas,United States,Technology
92923D,McNary MJ,Mcnary Elementary School,McNary,Arizona,United States,Technology
94666A,小海豚战队A,æ³°å·žå®žéªŒå¦æ ¡,taizhou,Jiangsu,China,Technology
96712A,Cane Fires,HALE'IWA ELEMENTARY SCHOOL,Haleiwa,Hawaii,United States,Technology
99900D,Dr X Academy,Dr X Academy,Richmond Hill,Ontario,Canada,Technology
